review_id,text,label,notes
36dae73833414947ba21374a95b7e5e9,"Could you imagine for a second, just a mere little second, the dialogue of Deadpool with the simplicity of Joey from Friends? Perhaps add in a dash or two of the go getter attitude found within Wolverine to go fourth and fight? What if I told you of a man who emboddied all that? Would your brian bits tingle? Would if you were the right person, your loins stir? What if I even added the sex drive of say Casanova? All set in the land of old, where lore and might added with sharp steel and magic. How about centuars? Deliciously funny and terrible evil queens? Monsters and battles and wizards oh my! Have I your attention yet? Let me sweeten the pot then for those casting their gaze upon these words. Who hear from clicking the link alone to be guided through the winding maze of the web saw that glowing image and the emblazoned word BYRON had the immediate thought, however brief, of CONAN enter their mind? If you are raising your hand, and reading with baited breath I have something to share with you. For those of you not raising your hand, you owe it to yourself to go fourth and figure out how to attain a copy. How about Beastmaster? Red Sonja? Fire & Ice? Even if you have never sat down to any of these delightful gems about barbarians, surely you had to have read about them at some point in History. Let me introduce to you a barbarian who you will not only root for, but demand multiple sequels detailing his exploits and adventures. BYRON The Barbarian! If you long for the days where gratuitous sex and violence with thoroughly imagined fantasy were wrought on the screen and in some books I won't mention here because this is about BYRON, you need to read this book. Page after page takes you deeper and deeper into the world of this oafish tower of muscle and wit, never once becoming bored or tired. Everywhere you look in this book will make you go through your own library wanting to continue the exileration you will have felt reading this. BYRON The Barbarian stands on its' own, never guilding the lily of the other barbarian titles mentioned and yet pays respectful amage and nuanced understanding of what the whole mythos is about. The colorful dialogue makes you want to engrain what BYRON says into your brain bits to use in your day to day life. And by the nine Hells you will! And you'll want to know what that means I'm sure and more once you've read BYRON The Barbarian and beg and plead and scream for more after you've finished it. This is a series that having only one book so far to it's name is bound to turn into several if Jeff O'Brien allows it. He has taken hold of something that once actualized and made manifested, is destined to take on a life of it's own. Skillfully and respectfully, his book has done what many strive for that many of the quote un quote ""Top Shelf Best Sellers"" one can find in their local bookstore actually fall flatter then a wrong note in a clean breezy jazz club. It never takes itself seriously and at the same time is very serious in what it is supposed to be. An adventure! It's supposed to be fun! It's supposed to be gratuitous! It's supposed to be exilerating! This book will make you want to pick up an axe, rip into a Turkey leg, down a pint of ale, plant said axe into a villainous creature and take his/her man/woman for your own! Or if you already have one, then to fight the worlds evils to protect them! All this and so much more await with BYRON The Barbarian. So quit reading my stinking review and go pick up a copy!",,
1cf1db3dd047463e406cb2e45e6ae641,"""What'll we do with ourselves this afternoon?"" cried Daisy. ""and the day after that, and the next thirty years?""",,
405e2695cf9f2c412e2784c3bd46f342,"This was another great quick and steamy read from Anne Jolin. I am just devouring these books. Our feature couple in this installment of the Rock Falls series is Lennon Montgomery and Jamison Henley, both of whom we met in Chasing Rhodes. Lennon is best friends with Hannah, and was roommates with Hannah and Beth. I didn't feel like we learned a whole lot about Lennon in the first book, she just seemed like a girl who didn't talk about her feelings much and didn't date anyone seriously. In Choosing Henley, we learn that Lennon is extremely jaded when it comes to relationships due a serious daddy issue she has from a super craptastic father. Let me tell ya, I was worried about Lennon. I was worried that she was going to be one of those heroines that kept pushing the hero away and ran away from him or would be one of those wishy washy heroines that annoy me. I am happy to report that she was not. Once Lennon decided to give it a shot, she truly did work at it. At one point I was so proud of her for NOT running, that gave her a big ol' goofy fist pump (in public). Awkward. Sometimes I forget where I am when I'm reading. We knew a little more about Jamison (Jami) from the first book. He was good friends with Hannah, had a pittie named after Martha Stewart, and was a gourmet cook. He also took great care of Hannah when she needed help during an emotional situation. He makes guitars, has some kickass tattoos, and owns his own gorgeous log cabin. And when he decides he wants something (or someone as in Lennon's case), he is going all in until he gets what he wants. It's like a fairy tale wish list of the perfect man. Only, as Jami points out, the sex they have is too naughty for fairytales. This was a solid romance, not too much drama and lots of steam. I do wish that it had been longer... I was kind of surprised when it ended because I thought I had 20% more book left (there was an excerpt at the end). I would have also liked to see karma work a little bit on Lennon's dad. That's just a consequence of the length, I love the writing, but I can always think of more more more because I'm greedy like that. ;) 4 stars / 4 flames.",,
05a54ea4d4b18d29053c92c7e575554f,"I enjoyed this, but as my husband said, it's no Harry Potter. I will read the next one and probably the third, but I'm in no rush. Like everyone says, this book starts out slow. Slow and kind of bad, really. If it wasn't for everyone saying it was the best thing ever, I might not have ever gotten to the good part. And I wonder in places about the translation -- or maybe it is just the original writing; hard to know when I don't know Swedish -- but ""gallimaufry""? Really?",,
b9b168ad6d152d831a22428dbe678016,"Lousy, over working it, pathetic, trying too hard to draw tears and emotions from readers..",,
4f65cdf0cbc10bf6bf003e690e3d3d3b,I read this one over and over again. Definitely her best work.,,
a76a5d8a8e57a751f541c73f4d4493f2,"McKillip novels work, or don't work, for me based mostly on the strength of the characterisation. Her prose is lovely, her plots follow a very satisfying fantasy logic; these things are a given. I find that they need to be animated by compelling characters and relationships, though, or it's all just gossamer. In The Forests of Serre ... didn't work for me. I thought it was a beautiful, twisty sort of fairytale story with a capricious narrative (that's a good thing). I loved the way McKillip used magic to literalise the metaphor of ""the heart:"" giving away one's heart, trading it, measuring its worth. But I kept waiting to fall in love with the characters, or at least feel something for them, and I couldn't. They wouldn't quite come into focus; I couldn't get a read on what kind of a person Prince Ronan was, or the wizard Gyre's motivations, and so I didn't ultimately care about the love triangle with Sidonie. I did enjoy the storyline in which Euan (a scribe) records the ailing wizard Unciel's knowledge and adventures; I found it well-paced, and I liked how McKillip developed their relationship. And I LOVED the scene near the end where Sidonie was basically like, ""Boys, stop trying to rescue me, I'm rescuing YOU, I've got it under control and you're FUCKING UP MY PLANS"" -- I've wanted to see that in a fantasy book for a really, really long time. On the whole: lovely and a bit disappointing. It's worth reading, but I'd recommend Ombria in Shadow for better-drawn characters.",,
6918a79a9d41109f4244f326d178aa2c,"Inferno showed us the punishments (torments, rather) of the damned. As much as you might have pitied these souls you can't help but feel (in most cases) that it's all well and good that they suffered since they were evil people and they deserved it. They did bring it on themselves, mostly. Limbo is another issue. Purgatory brings more sufferings but this is suffering that hurts more to the reader. These are people who are happily bearing their punishment because once they are purified they can go to heaven. These are sinners but somewhat righteous ones. It breaks your heart to see these people smiling or singing or chanting as they ask Dante to send word to their living relatives - prayers from the righteous living help shorten their time on the mountain. It's hopeful while at the same time being pitiful. As in Inferno, the imagery is fantastic and the verse is superb. The one thing that takes away from the experience - for me - is these constant interjections from Virgil or Dante on random things about Florence or whatever. Stupid to say, I know, since that is largely a part of the Comedy as Hell, Purgatory, and Heaven are but it just seems to be jarring here the way it wasn't in Inferno. Maybe it's the different translation.",,
270eb1a3c69430748a419120f20c155e,Awwwww. A friendly reminder that friendship has no boundaries and we can find love in the strangest of places. I enjoyed this story and the way it pulled on my heartstrings. Took a day to recover and start another book.,,
89f706f2285c4d8e5ea2d4bb0b9b6719,"I got hooked into this real fast! And once Lisbeth came along, wow I was speechless! Can we please have more badass female characters like these, pretty please with cherries on top? Although less heartbreaking backgrounds would be much appreciated. I binge read the trilogy for you, my heroine!",,
