review_id,text,label,notes,pre_labeled,rating,n_votes
5f36a872df07d7bbb5b05cefa66070b0,"I love Jack Prelutsky. He makes poetry cool and kids like it. My 4 yr old son loved this book, especially Gobble, Gobble and Leftovers. From the contents, he was hooked when he saw the word ""football"".",logbook,,yes,4,0
679d068b44884fba3fe10034daf3882f,"It will stay with you long after you've turned the final page. ""I spent the summer with Monika, and Monika spent the summer with ME!""",impression,,yes,5,0
30734917032662d4fc3ed45fbb5b50b4,"In my quest to read more gothics, I'm trying this one out. I enjoyed one of Aiken's works in the past, but I don't know how this one will pan out.",logbook,,yes,1,0
794a2b53624a1da67649f87e84be79b5,"Spicey, hot without being crass. I have enjoyed a few of her other Laurel Heights stories as well after recently stumbling upon them at Amazon. I will eagerly watch for her books in the future.",impression,impression vs logbook: circumstance is about her OTHER books; the verdict on THIS one leads,yes,4,0
eb9cedf22784f388335538de6a0df42f,"I really want to give this book a better rating for many reasons. Ellen Hopkins writes in verse, which definitely adds an interesting element to the novel. I was drawn into the characters, the self-discovery, the discovery of romance. But the ending killed it for me. It was abrupt and felt way too extreme. It was as if everything that was built up to for the entirety of the book was put into a trash can and lit on fire. Perhaps if the ending had been more balanced, I would have liked the book better. However, I'm definitely willing to give other books by Ellen Hopkins a try. I hope to try a book from her Crank series soon.",analysis,,yes,3,0
41d92fca18e8cc42dfc590c6fe825868,"This is a real science fiction story. It uses actual science to make the story. There is no warp speed, aliens, or laser guns. An astronaut is left behind on Mars as the mission has to be abandoned. His crewmates think he is dead. Due to a strange accident, he finds himself alone with only limited supplies. The next mission isn't scheduled for another 4 years and he has no way to even contact anyone. But he isn't willing to just give up and die. So, he approaches the problem one at a time and tries to come up with working solutions. This is a true Robinson Crusoe story set in space. But there is no Friday. The problems are a little more basic; things like getting enough air, water, and food but not having a handy fish-filled ocean or coconut-laden palm grove nearby. Even when problems get solved, new problems come along to change the playing field. There is plenty of suspense even though there isn't an active antagonist.",analysis,,yes,5,0
2fc62c484444ca18b53ac88d5c4e8314,"I have read Tina Fey's Bossypants, And I have now read Amy Poehler Yes Please. And I can now Say: I love these gals. It was funny and interesting and charming. So Amy Poehler YES PLEASE.",impression,,yes,5,0
356fe65d05d46b9319ae581b6cb982b8,"Sovereign. Deadly. Perfect. That is how they describe the films of famous director Cordova, not necessarily how I would describe Marisha Pessel's Night Film. The book was fabulous and met all expectations it created which made it both satisfying and a bit easy to guess. Ashley Cordova, age 24, is found dead in a warehouse in lower Manhattan. Everyone believes that she jumped. She was, after all, the daughter of Stanislas Cordova, the director of movies so terrifying they have been banned from theaters. His most devoted fans hold underground viewings, but even they have not seen Stanislas in 30 years. No one has. Journalist Scott McGrath lost his career the last time he tried to expose Cordova, but Ashley's death brings him back on the case and deeper and deeper into the secret, dark world surrounding Cordova's supposed retirement. I loved how it took you on the journey, the slow build into mysticism, broken just long enough that you begged to bring it back. Anything but the simplicity you were being offered. You wanted the darkness to be real. I also loved how Pessel interspersed internet articles and pictures, because it made the book feel so real. In addition, if you download an app to use to scan hidden elements of the book you can watch movies. Or something. I haven't tried it, because I'm lazy. Do you dare? Find more of my reviews at Jana's Library",analysis,,yes,5,0
92a070f8bc5c1418f92fefe19978c097,loved this one as much as the first but wanted so much more in the ending. I hope there will be a 3rd book,impression,,yes,4,0
5433614f913a1f546517b3c4c8be16aa,"Oh my... this book. Wow. Chaos Bound was a raw and gritty romance - a truly gut wrenching experience. And I freaking loved it. Holt, Holt, Holt. Can someone please print a 3D version of this man so I can bring him home and love him??? Because the more I got to know him, that is what I wanted. He lived through a horrifying experience, only to come out on the other side not knowing what about his life is true. He's lost and hurting - desperate for revenge. It's awful and you hope that Naiya will be the balm to heal his wounds. Except there is no moving forward without retribution for all that happened to him and he plans to use Naiya to achieve his revenge. She's the one thing that can tempt the man who caused all of Holt's physical and mental scars, Viper. All Naiya wants is to survive.... and possibly a future Holt. So her main goal - to come out of all of their chaos alive - is hard fought and difficult to achieve. It's an intense and thrilling ride with Naiya and Holt. I devoured every minute of their romance and loved how everything played out. Honestly, I think this series just gets better with each book and I absolutely recommend meeting the men of the Sinner's Tribe Motorcycle Club. They're sexy beasts who will consume your heart and destroy your panties - it's awesome!! Definitely check it out!",analysis,,yes,5,1
